v3.18-1run,${-1.1}$,${-62.8}$,${-63.3}$,$0.6$
v3.18-patched,${-1.1}$,${-62.7}$,${-63.3}$,$0.6$
v3.18-removeCounter,${-2.0}$,${-63.4}$,${-63.8}$,$0.1$
v3.18-2run,${-0.8}$,${-61.5}$,${-62.2}$,$1.4$
v3.18-3run,${-0.6}$,${-61.1}$,${-61.6}$,$2.0$
v3.18-1run,${-1.0}$,${-6.6}$,${-7.6}$,$29.0$
v3.18-patched,${-1.0}$,${-6.6}$,${-7.6}$,$29.0$
v3.18-2run,${-0.7}$,${-6.6}$,${-7.4}$,$34.8$
v3.18-3run,${-0.5}$,${-6.6}$,${-7.1}$,$40.6$
v3.18-1run,${-1.0}$,${-6.6}$,${-7.6}$,$29.0$
v3.18-1run,${-1.0}$,${-6.6}$,${-7.6}$,$29.0$
v3.18-1run,${-1.0}$,${-45.6}$,${-46.6}$,$9.3$
v3.18-1run,${-1.0}$,${-45.6}$,${-46.6}$,$9.3$
v3.18-1run,${-1.0}$,${-48.3}$,${-49.3}$,$7.8$
